Model,horizon_step,RMSE,MAE,CRPS
Naive Mean,1,1.4122,1.0154,0.7924
Naive Mean,2,1.4852,1.0694,0.8366
Naive Mean,3,1.5518,1.1208,0.8777
Naive Mean,6,1.7159,1.2461,0.9828
Naive Mean,12,1.9075,1.4192,1.1247
Naive Last,1,0.3978,0.2758,0.2057
Naive Last,2,0.6709,0.4530,0.3421
Naive Last,3,0.8646,0.5755,0.4408
Naive Last,6,1.2646,0.8782,0.6695
Naive Last,12,1.8643,1.3399,1.0173
PNC,1,1.4122,1.1017,0.7400
PNC,2,1.4852,1.1585,0.7958
PNC,3,1.5518,1.2061,0.8471
PNC,6,1.7159,1.3161,0.9751
PNC,12,1.9075,1.4895,1.1349
BVAR Diffuse,1,0.4886,0.3370,0.2516
BVAR Diffuse,2,0.7567,0.5158,0.3864
BVAR Diffuse,3,0.9349,0.6309,0.4809
BVAR Diffuse,6,1.3171,0.9211,0.7145
BVAR Diffuse,12,1.9331,1.3759,1.1031
BVAR Minnesota,1,0.4860,0.3348,0.2498
BVAR Minnesota,2,0.7550,0.5139,0.3847
BVAR Minnesota,3,0.9349,0.6298,0.4799
BVAR Minnesota,6,1.3183,0.9262,0.7149
BVAR Minnesota,12,1.9311,1.3756,1.1003
BVAR Normal-Wishart,1,0.4828,0.3325,0.2491
BVAR Normal-Wishart,2,0.7448,0.5071,0.3809
BVAR Normal-Wishart,3,0.9195,0.6171,0.4711
BVAR Normal-Wishart,6,1.3068,0.9107,0.7084
BVAR Normal-Wishart,12,1.9207,1.3668,1.0985
"ARIMA(1,1,0)",1,0.3623,0.2590,0.1910
"ARIMA(1,1,0)",2,0.6477,0.4522,0.3352
"ARIMA(1,1,0)",3,0.8494,0.5771,0.4363
"ARIMA(1,1,0)",6,1.2544,0.8775,0.6591
"ARIMA(1,1,0)",12,1.8734,1.3542,1.0052
DFM,1,0.3643,0.2623,0.1932
DFM,2,0.6541,0.4628,0.3407
DFM,3,0.8565,0.5895,0.4421
DFM,6,1.2657,0.8878,0.6653
DFM,12,1.9111,1.3743,1.0332
DRF,1,0.5904,0.3950,0.2955
DRF,2,0.7888,0.5388,0.4006
DRF,3,0.9240,0.6266,0.4665
DRF,6,1.1730,0.7852,0.5753
DRF,12,1.3409,0.8638,0.6195
